State Code, District Code, District, Population
23,423,Shivpuri,1726050
23,424,Tikamgarh,1445166
23,425,Chhatarpur,1762375
23,426,Panna,1016520
23,427,Sagar,2378458
23,428,Damoh,1264219
23,429,Satna,2228935
23,430,Rewa,2365106
23,431,Umaria,644758
23,432,Neemuch ,826067
23,433,Mandsaur,1340411
23,434,Ratlam,1455069
23,435,Ujjain,1986864
23,436,Shajapur,1512681
23,437,Dewas,1563715
23,438,Dhar,2185793
23,439,Indore,3276697
23,440,Khargone (West Nimar),1873046
23,441,Barwani ,1385881
23,442,Rajgarh,1545814
23,443,Vidisha,1458875
23,444,Bhopal,2371061
23,445,Sehore,1311332
23,446,Raisen,1331597
23,447,Betul,1575362
23,448,Harda ,570465
23,449,Hoshangabad,1241350
23,450,Katni ,1292042
23,451,Jabalpur,2463289
23,452,Narsimhapur,1091854
23,453,Dindori ,704524
23,454,Mandla,1054905
23,455,Chhindwara,2090922
23,456,Seoni,1379131
23,457,Balaghat,1701698
23,458,Guna,1241519
23,459,Ashoknagar,845071
23,460,Shahdol,1066063
23,461,Anuppur,749237
23,462,Sidhi,1127033
23,463,Singrauli,1178273
23,464,Jhabua,1025048
23,465,Alirajpur,728999
23,466,Khandwa (East Nimar),1310061
23,467,Burhanpur,757847
24,468,Kachchh,2092371
24,469,Banas Kantha,3120506
24,470,Patan  ,1343734
24,471,Mahesana,2035064
24,472,Sabar Kantha,2428589
24,473,Gandhinagar,1391753
24,474,Ahmadabad,7214225
24,475,Surendranagar,1756268
24,476,Rajkot,3804558
24,477,Jamnagar,2160119
24,478,Porbandar ,585449
24,479,Junagadh,2743082
24,480,Amreli,1514190
24,481,Bhavnagar,2880365
24,482,Anand  ,2092745
24,483,Kheda,2299885
24,484,Panch Mahals,2390776
24,485,Dohad  ,2127086
24,486,Vadodara,4165626
24,487,Narmada,590297
24,488,Bharuch,1551019
24,489,The Dangs,228291
24,490,Navsari  ,1329672
24,491,Valsad,1705678
24,492,Surat,6081322
24,493,Tapi,807022
25,494,Diu,52074
25,495,Daman,191173
26,496,Dadra & Nagar Haveli,343709
27,497,Nandurbar,1648295
27,498,Dhule,2050862
27,499,Jalgaon,4229917
27,500,Buldana,2586258
27,501,Akola,1813906
27,502,Washim,1197160
27,503,Amravati,2888445
27,504,Wardha,1300774
27,505,Nagpur,4653570
27,506,Bhandara,1200334
27,507,Gondiya,1322507
27,508,Gadchiroli,1072942
27,509,Chandrapur,2204307
27,510,Yavatmal,2772348
27,511,Nanded,3361292
27,512,Hingoli,1177345
27,513,Parbhani,1836086
27,514,Jalna,1959046
27,515,Aurangabad,3701282
27,516,Nashik,6107187
27,517,Thane,11060148
27,518,Mumbai Suburban,9356962
27,519,Mumbai,3085411
27,520,Raigarh,2634200
27,521,Pune,9429408
27,522,Ahmadnagar,4543159
27,523,Bid,2585049
27,524,Latur,2454196
27,525,Osmanabad,1657576
27,526,Solapur,4317756
27,527,Satara,3003741
27,528,Ratnagiri,1615069
27,529,Sindhudurg,849651
27,530,Kolhapur,3876001
27,531,Sangli,2822143
28,532,Adilabad,2741239
28,533,Nizamabad,2551335
28,534,Karimnagar,3776269
28,535,Medak,3033288
28,536,Hyderabad,3943323
28,537,Rangareddy,5296741
28,538,Mahbubnagar,4053028
28,539,Nalgonda,3488809
28,540,Warangal,3512576
28,541,Khammam,2797370
28,542,Srikakulam,2703114
28,543,Vizianagaram,2344474
28,544,Visakhapatnam,4290589
28,545,East Godavari,5154296
28,546,West Godavari,3936966
28,547,Krishna,4517398
28,548,Guntur,4887813
28,549,Prakasam,3397448
28,550,Sri Potti Sriramulu Nellore,2963557
28,551,Y.S.R.,2882469
28,552,Kurnool,4053463
28,553,Anantapur,4081148
28,554,Chittoor,4174064
29,555,Belgaum,4779661
29,556,Bagalkot ,1889752
29,557,Bijapur,2177331
29,558,Bidar,1703300
29,559,Raichur,1928812
29,560,Koppal,1389920
29,561,Gadag,1064570
29,562,Dharwad,1847023
29,563,Uttara Kannada,1437169
29,564,Haveri,1597668
29,565,Bellary,2452595
29,566,Chitradurga,1659456
29,567,Davanagere,1945497
29,568,Shimoga,1752753
29,569,Udupi,1177361
29,570,Chikmagalur,1137961
29,571,Tumkur,2678980
29,572,Bangalore,9621551
29,573,Mandya,1805769
29,574,Hassan,1776421
29,575,Dakshina Kannada,2089649
29,576,Kodagu,554519
29,577,Mysore,3001127
29,578,Chamarajanagar,1020791
29,579,Gulbarga,2566326
29,580,Yadgir,1174271
29,581,Kolar,1536401
29,582,Chikkaballapura,1255104
29,584,Ramanagara,1082636
30,585,North Goa,818008
30,586,South Goa,640537
31,587,Lakshadweep,64473
32,588,Kasaragod,1307375
32,589,Kannur,2523003
32,590,Wayanad,817420
32,591,Kozhikode,3086293
32,592,Malappuram,4112920
32,593,Palakkad,2809934
32,594,Thrissur,3121200
32,595,Ernakulam,3282388
32,596,Idukki ,1108974
32,597,Kottayam,1974551
32,598,Alappuzha,2127789
32,599,Pathanamthitta,1197412
32,600,Kollam,2635375
32,601,Thiruvananthapuram,3301427
33,602,Thiruvallur,3728104
33,603,Chennai,4646732
33,604,Kancheepuram,3998252
33,605,Vellore,3936331
33,606,Tiruvannamalai,2464875
33,607,Viluppuram,3458873
33,608,Salem,3482056
33,609,Namakkal   ,1726601
33,610,Erode,2251744
33,611,The Nilgiris,735394
33,612,Dindigul,2159775
33,613,Karur ,1064493
33,614,Tiruchirappalli,2722290
33,615,Perambalur  ,565223
33,616,Ariyalur  ,754894
33,617,Cuddalore,2605914
33,618,Nagapattinam  ,1616450
33,619,Thiruvarur,1264277
33,620,Thanjavur,2405890
33,621,Pudukkottai,1618345
33,622,Sivaganga,1339101
33,623,Madurai,3038252
33,624,Theni  ,1245899
33,625,Virudhunagar,1942288
33,626,Ramanathapuram,1353445
33,627,Thoothukkudi,1750176
33,628,Tirunelveli ,3077233
33,629,Kanniyakumari,1870374
33,630,Dharmapuri,1506843
33,631,Krishnagiri,1879809
33,632,Coimbatore,3458045
33,633,Tiruppur,2479052
34,634,Yanam,55626
34,635,Puducherry,950289
34,636,Mahe,41816
34,637,Karaikal,200222
35,638,Nicobars,36842
35,639,North  & Middle Andaman,105597
35,640,South Andaman,238142
