State,District,Level,Name,TOT_P
23,464,DISTRICT,Jhabua,1025048
23,465,DISTRICT,Alirajpur,728999
23,466,DISTRICT,Khandwa (East Nimar),1310061
23,467,DISTRICT,Burhanpur,757847
24,000,STATE,GUJARAT,60439692
24,468,DISTRICT,Kachchh,2092371
24,469,DISTRICT,Banas Kantha,3120506
24,470,DISTRICT,Patan  ,1343734
24,471,DISTRICT,Mahesana,2035064
24,472,DISTRICT,Sabar Kantha,2428589
24,473,DISTRICT,Gandhinagar,1391753
24,474,DISTRICT,Ahmadabad,7214225
24,475,DISTRICT,Surendranagar,1756268
24,476,DISTRICT,Rajkot,3804558
24,477,DISTRICT,Jamnagar,2160119
24,478,DISTRICT,Porbandar ,585449
24,479,DISTRICT,Junagadh,2743082
24,480,DISTRICT,Amreli,1514190
24,481,DISTRICT,Bhavnagar,2880365
24,482,DISTRICT,Anand  ,2092745
24,483,DISTRICT,Kheda,2299885
24,484,DISTRICT,Panch Mahals,2390776
24,485,DISTRICT,Dohad  ,2127086
24,486,DISTRICT,Vadodara,4165626
24,487,DISTRICT,Narmada,590297
24,488,DISTRICT,Bharuch,1551019
24,489,DISTRICT,The Dangs,228291
24,490,DISTRICT,Navsari  ,1329672
24,491,DISTRICT,Valsad,1705678
24,492,DISTRICT,Surat,6081322
24,493,DISTRICT,Tapi,807022
25,000,STATE,DAMAN & DIU,243247
25,494,DISTRICT,Diu,52074
25,495,DISTRICT,Daman,191173
26,000,STATE,DADRA & NAGAR HAVELI,343709
26,496,DISTRICT,Dadra & Nagar Haveli,343709
27,000,STATE,MAHARASHTRA,112374333
27,497,DISTRICT,Nandurbar,1648295
27,498,DISTRICT,Dhule,2050862
27,499,DISTRICT,Jalgaon,4229917
27,500,DISTRICT,Buldana,2586258
27,501,DISTRICT,Akola,1813906
27,502,DISTRICT,Washim,1197160
27,503,DISTRICT,Amravati,2888445
27,504,DISTRICT,Wardha,1300774
27,505,DISTRICT,Nagpur,4653570
27,506,DISTRICT,Bhandara,1200334
27,507,DISTRICT,Gondiya,1322507
27,508,DISTRICT,Gadchiroli,1072942
27,509,DISTRICT,Chandrapur,2204307
27,510,DISTRICT,Yavatmal,2772348
27,511,DISTRICT,Nanded,3361292
27,512,DISTRICT,Hingoli,1177345
27,513,DISTRICT,Parbhani,1836086
27,514,DISTRICT,Jalna,1959046
27,515,DISTRICT,Aurangabad,3701282
27,516,DISTRICT,Nashik,6107187
27,517,DISTRICT,Thane,11060148
27,518,DISTRICT,Mumbai Suburban,9356962
27,519,DISTRICT,Mumbai,3085411
27,520,DISTRICT,Raigarh,2634200
27,521,DISTRICT,Pune,9429408
27,522,DISTRICT,Ahmadnagar,4543159
27,523,DISTRICT,Bid,2585049
27,524,DISTRICT,Latur,2454196
27,525,DISTRICT,Osmanabad,1657576
27,526,DISTRICT,Solapur,4317756
27,527,DISTRICT,Satara,3003741
27,528,DISTRICT,Ratnagiri,1615069
27,529,DISTRICT,Sindhudurg,849651
