State,District,City,Population
Maharashtra,Thane,Kalyan-Dombivli,1247327
Maharashtra,Thane,Ulhasnagar,506098
Maharashtra,Thane,Badlapur,174226
Maharashtra,Thane,Ambarnath,253475
Maharashtra,Mumbai Suburban,Greater Mumbai,12478447
Maharashtra,Raigarh,Panvel,180020
Maharashtra,Raigarh,Navi Mumbai Panvel Raigarh,195373
Maharashtra,Pune,Pimpri Chinchwad,1727692
Maharashtra,Pune,Pune,3124458
Maharashtra,Ahmadnagar,Ahmadnagar,350859
Maharashtra,Bid,Bid,146709
Maharashtra,Latur,Latur,382940
Maharashtra,Latur,Udgir,103550
Maharashtra,Osmanabad,Osmanabad,111825
Maharashtra,Solapur,Barshi,118722
Maharashtra,Solapur,Solapur,951558
Maharashtra,Satara,Satara,120195
Maharashtra,Kolhapur,Ichalkaranji,287353
Maharashtra,Kolhapur,Kolhapur,549236
Maharashtra,Sangli,Sangli Miraj Kupwad,502793
Andhra Pradesh,Adilabad,Adilabad,117167
Andhra Pradesh,Nizamabad,Nizamabad,311152
Andhra Pradesh,Karimnagar,Ramagundam,237559
Andhra Pradesh,Karimnagar,Jagtial,103930
Andhra Pradesh,Karimnagar,Karimnagar,283657
Andhra Pradesh,Hyderabad,GHMC,1730320
Andhra Pradesh,Hyderabad,GHMC,250932
Andhra Pradesh,Hyderabad,GHMC,135370
Andhra Pradesh,Hyderabad,Secunderabad,217910
Andhra Pradesh,Hyderabad,GHMC,172542
Andhra Pradesh,Hyderabad,GHMC,341099
Andhra Pradesh,Hyderabad,GHMC,153558
Andhra Pradesh,Hyderabad,GHMC,108062
Andhra Pradesh,Hyderabad,GHMC,189378
Andhra Pradesh,Hyderabad,GHMC,271385
Andhra Pradesh,Hyderabad,GHMC,442229
Andhra Pradesh,Hyderabad,GHMC,213359
Andhra Pradesh,Hyderabad,GHMC,468158
Andhra Pradesh,Hyderabad,GHMC,330193
Andhra Pradesh,Hyderabad,GHMC,237594
Andhra Pradesh,Hyderabad,GHMC,345722
Andhra Pradesh,Rangareddy,GHMC,309320
Andhra Pradesh,Rangareddy,GHMC,567996
Andhra Pradesh,Rangareddy,GHMC,383654
Andhra Pradesh,Rangareddy,GHMC,413571
Andhra Pradesh,Rangareddy,GHMC,105987
Andhra Pradesh,Rangareddy,GHMC,384835
Andhra Pradesh,Rangareddy,GHMC,118577
Andhra Pradesh,Rangareddy,GHMC,369034
Andhra Pradesh,Rangareddy,GHMC,229823
Andhra Pradesh,Mahbubnagar,Mahbubnagar,190400
Andhra Pradesh,Nalgonda,Suryapet,106805
Andhra Pradesh,Nalgonda,Nalgonda,154326
Andhra Pradesh,Nalgonda,Miryalaguda,104918
Andhra Pradesh,Warangal,Warangal,620116
Andhra Pradesh,Khammam,Khammam,184210
Andhra Pradesh,Srikakulam,Srikakulam,135367
Andhra Pradesh,Vizianagaram,Vizianagaram,228720
Andhra Pradesh,Visakhapatnam,GVMC,1730320
Andhra Pradesh,East Godavari,Rajahmundry,341831
Andhra Pradesh,East Godavari,Kakinada,312538
Andhra Pradesh,West Godavari,Tadepalligudem,104032
Andhra Pradesh,West Godavari,Eluru,218020
Andhra Pradesh,West Godavari,Bhimavaram,146961
Andhra Pradesh,Krishna,Vijayawada,1021806
Andhra Pradesh,Krishna,Gudivada,118167
Andhra Pradesh,Krishna,Machilipatnam,169892
Andhra Pradesh,Guntur,Mangalagiri,107197
Andhra Pradesh,Guntur,Narasaraopet,117489
Andhra Pradesh,Guntur,Chilakaluripet,101398
Andhra Pradesh,Guntur,Guntur,670073
Andhra Pradesh,Guntur,Tenali,164937
Andhra Pradesh,Prakasam,Ongole,204746
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,547621
Andhra Pradesh,Y.S.R.,Proddatur,163970
Andhra Pradesh,Y.S.R.,Kadapa,318916
Andhra Pradesh,Kurnool,Kurnool,424920
Andhra Pradesh,Kurnool,Adoni,184625
Andhra Pradesh,Kurnool,Nandyal,211424
Andhra Pradesh,Anantapur,Guntakal,126270
Andhra Pradesh,Anantapur,Tadpatri,108171
Andhra Pradesh,Anantapur,Anantapur,261004
Andhra Pradesh,Anantapur,Dharmavaram,121874
Andhra Pradesh,Anantapur,Hindupur,151677
Andhra Pradesh,Chittoor,Tirupati,293421
Andhra Pradesh,Chittoor,Madanapalle,180180
Andhra Pradesh,Chittoor,Chittoor,160722
Karnataka,Belgaum,Belgaum,490045
Karnataka,Bagalkot,Bagalkot,111933
Karnataka,Bijapur,Bijapur,327427
Karnataka,Bidar,Bidar,216020
Karnataka,Raichur,Raichur,234073
Karnataka,Koppal,Gangawati,114642
Karnataka,Gadag,Gadag-Betigeri,172612
Karnataka,Dharwad,Hubli-Dharwad,943788
Karnataka,Haveri,Ranibennur,106406
Karnataka,Bellary,Hospet,206167
Karnataka,Bellary,Bellary,410445
Karnataka,Chitradurga,Chitradurga,145853
Karnataka,Davanagere,Davanagere,434971
Karnataka,Shimoga,Shimoga,322650
Karnataka,Shimoga,Bhadravati,151102
Karnataka,Udupi,Udupi,144960
Karnataka,Chikmagalur,Chikmagalur,118401
Karnataka,Tumkur,Tumkur,302143
Karnataka,Bangalore,BBMP,8443675
Karnataka,Mandya,Mandya,137358
Karnataka,Hassan,Hassan,155006
Karnataka,Dakshina Kannada,Mangalore,499487
Karnataka,Mysore,Mysore,920550
Karnataka,Gulbarga,Gulbarga,543147
Karnataka,Kolar,Kolar,138462
Karnataka,Kolar,Robertson Pet,162230
Kerala,Kasaragod,Kanhangad,125564
Kerala,Kozhikode,Kozhikode,550440
Kerala,Malappuram,Malappuram,101386
Kerala,Palakkad,Palakkad,130955
Kerala,Thrissur,Thrissur,315957
Kerala,Ernakulam,Kochi,601574
Kerala,Alappuzha,Alappuzha,240991
Kerala,Kollam,Kollam,350131
Kerala,Thiruvananthapuram,Thiruvananthapuram,762535
Tamil Nadu,Thiruvallur,Avadi,345996
Tamil Nadu,Thiruvallur,Ambattur,466205
Tamil Nadu,Thiruvallur,Tiruvottiyur,249446
Tamil Nadu,Thiruvallur,Madavaram,119105
Tamil Nadu,Chennai,Chennai,4646732
Tamil Nadu,Kancheepuram,Tambaram,174787
Tamil Nadu,Kancheepuram,Alandur,164430
Tamil Nadu,Kancheepuram,Pallavaram,215417
Tamil Nadu,Kancheepuram,Kancheepuram,164384
Tamil Nadu,Vellore,Vellore,185803
Tamil Nadu,Vellore,Ambur,114608
Tamil Nadu,Tiruvannamalai,Tiruvannamalai,145278
Tamil Nadu,Salem,Salem,829267
Tamil Nadu,Erode,Erode,157101
Tamil Nadu,Dindigul,Dindigul,207327
Tamil Nadu,Tiruchirappalli,Tiruchirappalli,847387
Tamil Nadu,Cuddalore,Cuddalore,173636
Tamil Nadu,Cuddalore,Neyveli,105731
Tamil Nadu,Nagapattinam ,Nagapattinam,102905
Tamil Nadu,Thanjavur,Kumbakonam,140156
Tamil Nadu,Thanjavur,Thanjavur,222943
Tamil Nadu,Pudukkottai,Pudukkottai,117630
Tamil Nadu,Sivaganga,Karaikkudi,106714
Tamil Nadu,Madurai,Madurai,1017865
Tamil Nadu,Virudhunagar,Rajapalayam,130442
Tamil Nadu,Thoothukkudi,Thoothukkudi,237830
Tamil Nadu,Tirunelveli,Tirunelveli,473637
Tamil Nadu,Kanniyakumari,Nagercoil,224849
Tamil Nadu,Krishnagiri,Hosur,116821
Tamil Nadu,Coimbatore,Coimbatore,1050721
Tamil Nadu,Coimbatore,Kurichi,123667
Tamil Nadu,Tiruppur,Tiruppur,444352
Puducherry,Puducherry,Puducherry,244377
Puducherry,Puducherry,Ozhukarai,300104
Andaman & Nicobar Islands,South Andaman,Port Blair,108058
