State,District,City,Population,Area (in km^2),Latitude,Longitude
Odisha,Sundargarh,Raurkela,320040,56,22.23,84.87
Odisha,Mayurbhanj,Baripada,116849,40,21.93,86.75
Odisha,Baleshwar,Baleshwar,144373,38,21.48,86.93
Odisha,Bhadrak,Bhadrak,121338,78.86,21.05,86.49
Odisha,Cuttack,Cuttack,610189,398,20.46,85.88
Odisha,Khordha,Bhubaneswar,885363,185,20.3,85.82
Odisha,Puri,Puri,200564,17,19.82,85.83
Odisha,Ganjam,Brahmapur,356598,80,19.31,84.79
Chhattisgarh,Surguja,Ambikapur,121071,733,23.12,83.2
Chhattisgarh,Raigarh,Raigarh,150019,652,21.9,83.4
Chhattisgarh,Korba,Korba,363210,1996,22.36,82.73
Chhattisgarh,Bilaspur,Bilaspur,349107,448,22.08,82.15
Chhattisgarh,Rajnandgaon,Rajnandgaon,163114,745,21.1,81.03
Chhattisgarh,Durg,Bhilai Nagar,618611,341,21.21,81.38
Chhattisgarh,Durg,Durg,268806,639,21.19,81.28
Chhattisgarh,Raipur,Raipur,1027264,653,21.25,81.63
Chhattisgarh,Dhamtari,Dhamtari,101677,681,20.71,81.55
Chhattisgarh,Bastar,Jagdalpur,125463,720,19.07,82.03
Madhya Pradesh,Morena,Morena,200482,1071,26.5,78
Madhya Pradesh,Bhind,Bhind,197585,1189,26.56,78.79
Madhya Pradesh,Gwalior,Gwalior,1054420,2668,26.22,78.18
Madhya Pradesh,Datia,Datia,100284,1206,25.67,78.46
Madhya Pradesh,Shivpuri,Shivpuri,179977,1937,25.42,77.66
Madhya Pradesh,Chhatarpur,Chhatarpur,142128,1065,24.92,79.58
Madhya Pradesh,Sagar,Sagar,274556,2157,23.83,78.75
Madhya Pradesh,Damoh,Damoh,139561,1227,23.84,79.44
Madhya Pradesh,Satna,Satna,282977,0,24.58,80.83
Madhya Pradesh,Rewa,Rewa,235654,0,24.53,81.3
Madhya Pradesh,Neemuch,Neemuch,128561,566,24.47,74.87
Madhya Pradesh,Mandsaur,Mandsaur,141667,935,24.08,75.07
Madhya Pradesh,Ratlam,Ratlam,264914,1321,23.33,75.04
Madhya Pradesh,Ujjain,Nagda,100039,652,0,0
Madhya Pradesh,Ujjain,Ujjain,515215,745,23.18,75.78
Madhya Pradesh,Dewas,Dewas,289550,1001,22.96,76.05
Madhya Pradesh,Dhar,Pithampur,126200,200,22.61,75.68
Madhya Pradesh,Indore,Indore,1992422,891,22.72,75.86
Madhya Pradesh,Khargone (West Nimar),Khargone,116150,0,21.83,75.61
Madhya Pradesh,Vidisha,Vidisha,155951,1071,23.53,77.82
Madhya Pradesh,Bhopal,Bhopal,1798218,285.88,23.26,77.41
Madhya Pradesh,Sehore,Sehore,109118,911,23.2,77.1
Madhya Pradesh,Betul,Betul,103330,1347,21.92,77.9
Madhya Pradesh,Hoshangabad,Hoshangabad,117988,231,22.74,77.74
Madhya Pradesh,Katni,Murwara (Katni),221883,634,23.48,80.4
Madhya Pradesh,Jabalpur,Jabalpur,1069292,1147,23.17,79.93
Madhya Pradesh,Chhindwara,Chhindwara,175052,627,22.06,78.94
Madhya Pradesh,Seoni,Seoni,102343,1411,22.09,79.54
Madhya Pradesh,Guna,Guna,180935,1636,24.65,77.32
Madhya Pradesh,Singrauli,Singrauli,220257,1908,24.2,82.65
Madhya Pradesh,Khandwa (East Nimar),Khandwa,200738,0,21.83,76.35
Madhya Pradesh,Burhanpur,Burhanpur,210886,1054,21.31,76.23
Gujarat,Kachchh,Bhuj,148834,5936,23.24,69.67
Gujarat,Kachchh,Gandhidham,247992,217,23.08,70.14
Gujarat,Banas Kantha,Palanpur,141592,787,24.18,72.43
Gujarat,Banas Kantha,Deesa,111160,1478,24.26,72.19
Gujarat,Patan ,Patan,133737,0,23.85,72.13
Gujarat,Mahesana,Mahesana,190753,843,23.6,72.4
Gujarat,Gandhinagar,Kalol,134426,488,22.61,73.46
Gujarat,Gandhinagar,Gandhinagar,292797,671,23.24,72.65
Gujarat,Ahmadabad,Ahmadabad,5577940,1866,23.03,72.58
Gujarat,Surendranagar,Surendranagar Dudhrej,177851,45,22.72,71.72
Gujarat,Rajkot,Morvi,210451,1070,22.82,70.83
Gujarat,Rajkot,Rajkot,1323363,1115,22.31,70.8
Gujarat,Rajkot,Gondal,112197,1145,21.96,70.79
Gujarat,Rajkot,Jetpur Navagadh,118302,0,21.75,70.62
Gujarat,Jamnagar,Jamnagar,600943,1901,22.47,70.06
Gujarat,Porbandar,Porbandar,152760,1145,21.64,69.61
Gujarat,Junagadh,Junagadh,319462,680,21.52,70.46
Gujarat,Junagadh,Veraval,171121,0,20.92,70.37
Gujarat,Amreli,Amreli,117967,833,21.6,71.22
Gujarat,Bhavnagar,Botad,130327,794,22.17,71.67
Gujarat,Bhavnagar,Bhavnagar,605882,2293,21.77,72.15
Gujarat,Anand ,Anand,209410,0,22.55,72.95
Gujarat,Kheda,Nadiad,225071,404,22.7,72.87
Gujarat,Panch Mahals,Godhra,143644,765,22.77,73.62
Gujarat,Dohad ,Dohad,118846,14,22.83,74.25
Gujarat,Vadodara,Vadodara,1752371,671,22.31,73.19
Gujarat,Bharuch,Bharuch,169007,634,21.71,73
Gujarat,Navsari ,Navsari,171109,0,20.95,72.93
Gujarat,Valsad,Valsad,139764,524,20.6,72.92
